Search for FDA Guidance Documents | FDA,,,,,,,,
Summary,Document,Issue Date,FDA Organization,Topic,Guidance Status,Open for Comment,Comment Closing Date on Draft,Docket Number
"Pharmacy Compounding of Human Drug Products Under Section 503A of the Federal Food, Drug, and Cosmetic Act Guidance","PDF (84.64 KB)PDF (84.64 KB) of Pharmacy Compounding of Human Drug Products Under Section 503A of the Federal Food, Drug, and Cosmetic Act Guidance",07/02/2014,Center for Drug Evaluation and Research,"Administrative / Procedural, Compounding",Final,No,,FDA-2013-D-1444
"Guidance for Industry: Assessing the Effects of Significant Manufacturing Process Changes, Including Emerging Technologies, on the Safety and Regulatory Status of Food Ingredients and Food Contact Substances, Including Food Ingredients that Are Color Additives","PDF (201.31 KB)PDF (201.31 KB) of Guidance for Industry: Assessing the Effects of Significant Manufacturing Process Changes, Including Emerging Technologies, on the Safety and Regulatory Status of Food Ingredients and Food Contact Substances, Including Food Ingredients that Are Color Additives",06/27/2014,Human Foods Program,"Food & Color Additives, Ingredients, Food Contact Substances (FCS)",Final,No,,FDA-2011-D-0490
Small Entity Compliance Guide: Gluten-Free Labeling of Foods,PDF (78.21 KB)PDF (78.21 KB) of Small Entity Compliance Guide: Gluten-Free Labeling of Foods,06/26/2014,Human Foods Program,"Allergens, Labeling",Final,No,,FDA-2005-N-0404
Guidance for Industry: Safety of Nanomaterials in Cosmetic Products,PDF (130.65 KB)PDF (130.65 KB) of Guidance for Industry: Safety of Nanomaterials in Cosmetic Products,06/24/2014,"Office of the Commissioner,Office of the Chief Scientist",,Final,No,,FDA-2011-D-0489
Considering Whether an FDA-Regulated Product Involves the Application of Nanotechnology:  Guidance for Industry,PDF (111.45 KB)PDF (111.45 KB) of Considering Whether an FDA-Regulated Product Involves the Application of Nanotechnology:  Guidance for Industry,06/23/2014,"Office of the Commissioner,Office of Policy, Legislation, and International Affairs,Office of Policy","Premarket, Food & Color Additives, Records",Final,No,,FDA-2010-D-0530
Criteria for Significant Risk Investigations of Magnetic Resonance Diagnostic Devices - Guidance for Industry and Food and Drug Administration Staff,PDF (77.94 KB)PDF (77.94 KB) of Criteria for Significant Risk Investigations of Magnetic Resonance Diagnostic Devices - Guidance for Industry and Food and Drug Administration Staff,06/19/2014,Center for Devices and Radiological Health,"Premarket,",Final,No,,FDA-2020-D-0957
Drug Master Files: Guidelines,,06/18/2014,Center for Drug Evaluation and Research,Pharmaceutical Quality,Final,No,,FDA-2014-D-0397
Internet/Social Media Platforms with Character Space Limitations— Presenting Risk and Benefit Information for Prescription Drugs and Medical Devices,,06/18/2014,Center for Veterinary MedicineCenter for Drug Evaluation and ResearchCenter for Devices and Radiological HealthCenter for Biologics Evaluation and Research,Advertising,Draft,No,,FDA-2014-D-0397
Internet/Social Media Platforms with Character Space Limitations— Presenting Risk and Benefit Information for Prescription Drugs and Medical Devices,PDF (176.42 KB)PDF (176.42 KB) of Internet/Social Media Platforms with Character Space Limitations— Presenting Risk and Benefit Information for Prescription Drugs and Medical Devices,06/18/2014,Center for Drug Evaluation and Research,Advertising,Draft,No,,FDA-2014-D-0397
Q4B Annex 6: Uniformity of Dosage Units General Chapter,PDF (53.18 KB)PDF (53.18 KB) of Q4B Annex 6: Uniformity of Dosage Units General Chapter,06/16/2014,Center for Biologics Evaluation and ResearchCenter for Drug Evaluation and Research,ICH-Quality,Final,No,,FDA-2009-D-0011
Distributing Scientific and Medical Publications on Risk Information for Approved Prescription Drugs and Biological Products—Recommended Practices,PDF (94.88 KB)PDF (94.88 KB) of Distributing Scientific and Medical Publications on Risk Information for Approved Prescription Drugs and Biological Products—Recommended Practices,06/11/2014,Center for Veterinary MedicineCenter for Biologics Evaluation and ResearchCenter for Drug Evaluation and Research,Administrative / Procedural,Draft,No,,FDA-2014-D-0758
"Guidance for Industry: Demonstration of the Quality Factor Requirements Under 21 CFR 106.96(i) for ""Eligible"" Infant Formulas","PDF (135.65 KB)PDF (135.65 KB) of Guidance for Industry: Demonstration of the Quality Factor Requirements Under 21 CFR 106.96(i) for ""Eligible"" Infant Formulas",06/10/2014,Human Foods Program,Infant Formula & Foods,Final,No,,FDA-2014-D-0033
CPG Sec 100.250 Food Facility Registration (Human and Animal Food),PDF (98.12 KB)PDF (98.12 KB) of CPG Sec 100.250 Food Facility Registration (Human and Animal Food),06/01/2014,Center for Veterinary MedicineOffice of Inspections and InvestigationsHuman Foods Program,"Investigation & Enforcement,",Final,No,,FDA-2013-D-0126
Expedited Programs for Serious Conditions | Drugs and Biologics,PDF (494.14 KB)PDF (494.14 KB) of Expedited Programs for Serious Conditions | Drugs and Biologics,05/30/2014,Center for Drug Evaluation and Research,Administrative / Procedural,Final,No,,FDA-2013-D-0575
CVM GFI #79 Dispute Resolution Procedures for Science-Based Decisions on Products Regulated by CVM,PDF (139.26 KB)PDF (139.26 KB) of CVM GFI #79 Dispute Resolution Procedures for Science-Based Decisions on Products Regulated by CVM,05/29/2014,Center for Veterinary Medicine,Administrative / Procedural,Final,No,,FDA-2003-D-0307
"Considerations When Transferring Clinical Investigation Oversight to Another IRB:  Guidance for IRBs, Clinical Investigators, and Sponsors","PDF (157.26 KB)PDF (157.26 KB) of Considerations When Transferring Clinical Investigation Oversight to Another IRB:  Guidance for IRBs, Clinical Investigators, and Sponsors",05/23/2014,"Office of the Commissioner,Office of Clinical Policy and Programs,Office of Clinical Policy,Office of Good Clinical PracticeCenter for Drug Evaluation and ResearchCenter for Devices and Radiological HealthCenter for Biologics Evaluation and Research",Good Clinical Practice (GCP),Final,No,,FDA-2011-D-0835
"ANDAs: Stability Testing of Drug Substances and Products, Questions and Answers","PDF (124.21 KB)PDF (124.21 KB) of ANDAs: Stability Testing of Drug Substances and Products, Questions and Answers",05/15/2014,Center for Drug Evaluation and Research,"Chemistry, Manufacturing, and Controls (CMC), Pharmaceutical Quality",Final,No,,FDA-2014-D-0547
CVM GFI #219 (VICH GL51) Statistical Evaluation of Stability Data,PDF (221.15 KB)PDF (221.15 KB) of CVM GFI #219 (VICH GL51) Statistical Evaluation of Stability Data,05/13/2014,Center for Veterinary Medicine,VICH,Final,No,,FDA-2012-D-0288
Hospital-Acquired Bacterial Pneumonia and Ventilator-Associated Bacterial Pneumonia:  Developing Drugs for Treatment,PDF (119.83 KB)PDF (119.83 KB) of Hospital-Acquired Bacterial Pneumonia and Ventilator-Associated Bacterial Pneumonia:  Developing Drugs for Treatment,05/06/2014,Center for Drug Evaluation and Research,Clinical - Antimicrobial,Final,No,,FDA-2010-D-0589
Providing Information about Pediatric Uses of Medical Devices:  Guidance for Industry and FDA Staff,PDF (370.53 KB)PDF (370.53 KB) of Providing Information about Pediatric Uses of Medical Devices:  Guidance for Industry and FDA Staff,05/01/2014,Center for Devices and Radiological Health,"Premarket, Pediatric Product Development",Final,No,,FDA-2013-D-0117
"Guidance for Industry: FDA Records Access Authority Under Sections 414 and 704 of the Federal Food, Drug, & Cosmetic Act","PDF (82.97 KB)PDF (82.97 KB) of Guidance for Industry: FDA Records Access Authority Under Sections 414 and 704 of the Federal Food, Drug, & Cosmetic Act",04/04/2014,Center for Veterinary MedicineOffice of Inspections and InvestigationsHuman Foods Program,Records,Final,No,,FDA-2011-D-0674
Small Entity Compliance Guide: What You Need to Know About Establishment and Maintenance of Records,PDF (90.59 KB)PDF (90.59 KB) of Small Entity Compliance Guide: What You Need to Know About Establishment and Maintenance of Records,04/04/2014,Center for Veterinary MedicineOffice of Inspections and InvestigationsHuman Foods Program,Records,Final,No,,FDA-2013-N-1421
Types of Communication During the Review of Medical Device Submissions:  Guidance for Industry and FDA Staff,PDF (133.87 KB)PDF (133.87 KB) of Types of Communication During the Review of Medical Device Submissions:  Guidance for Industry and FDA Staff,04/04/2014,Center for Devices and Radiological Health,"Premarket,",Final,No,,FDA-2013-D-0147
"CPG Sec 550.050 Canned Ackee, Frozen Ackee, and Other Ackee Products- Hypoglycin A Toxin","PDF (17.18 KB)PDF (17.18 KB) of CPG Sec 550.050 Canned Ackee, Frozen Ackee, and Other Ackee Products- Hypoglycin A Toxin",04/01/2014,Human Foods ProgramOffice of Inspections and Investigations,"Investigation & Enforcement, Fruit/Fruit Product",Final,No,,
Interpreting Sameness of Monoclonal Antibody Products Under the Orphan Drug Regulations,PDF (88.18 KB)PDF (88.18 KB) of Interpreting Sameness of Monoclonal Antibody Products Under the Orphan Drug Regulations,04/01/2014,Center for Biologics Evaluation and Research,"Chemistry, Manufacturing, and Controls (CMC), Pharmaceutical Quality",Final,No,,FDA-1999-D-0178
"The Meaning of ""Spouse"" and ""Family"" in FDA's Regulations after the Supreme Court's Ruling in United States v. Windsor: Questions and Answers:  Guidance for Industry, Consumers, and FDA Staff","PDF (37.72 KB)PDF (37.72 KB) of The Meaning of ""Spouse"" and ""Family"" in FDA's Regulations after the Supreme Court's Ruling in United States v. Windsor: Questions and Answers:  Guidance for Industry, Consumers, and FDA Staff",03/31/2014,"Office of the Commissioner,Office of Policy, Legislation, and International Affairs,Office of Policy","Administrative / Procedural, Food & Color Additives",Final,No,,FDA-2014-D-0261
Medical Device Tracking :  Guidance for Industry and FDA Staff,PDF (291.45 KB)PDF (291.45 KB) of Medical Device Tracking :  Guidance for Industry and FDA Staff,03/27/2014,Center for Devices and Radiological Health,,Final,No,,FDA-2020-D-0957
Premarket Assessment of Pediatric Medical Devices:  Guidance for Industry and FDA Staff,PDF (161.96 KB)PDF (161.96 KB) of Premarket Assessment of Pediatric Medical Devices:  Guidance for Industry and FDA Staff,03/24/2014,Center for Devices and Radiological Health,"Premarket, Pediatric Product Development",Final,No,,FDA-2003-D-0367
Bioavailability and Bioequivalence Studies Submitted in NDAs or INDs — General Considerations,PDF (804.84 KB)PDF (804.84 KB) of Bioavailability and Bioequivalence Studies Submitted in NDAs or INDs — General Considerations,03/18/2014,Center for Drug Evaluation and Research,Biopharmaceutics,Draft,No,,FDA-2014-D-0204
Chronic Fatigue Syndrome/Myalgic Encephalomyelitis:  Developing Drug Products for Treatment,PDF (337.45 KB)PDF (337.45 KB) of Chronic Fatigue Syndrome/Myalgic Encephalomyelitis:  Developing Drug Products for Treatment,03/11/2014,Center for Drug Evaluation and Research,Clinical - Medical,Draft,No,,FDA-2014-D-0264
CMC Postapproval Manufacturing Changes To Be Documented in Annual Reports,PDF (298.36 KB)PDF (298.36 KB) of CMC Postapproval Manufacturing Changes To Be Documented in Annual Reports,03/05/2014,Center for Drug Evaluation and Research,"Chemistry, Manufacturing, and Controls (CMC), Pharmaceutical Quality",Final,No,,FDA-2010-D-0283
"BLA for Minimally Manipulated, Unrelated Allogeneic Placental/Umbilical Cord Blood Intended for Hematopoietic and Immunologic Reconstitution in Patients with Disorders Affecting the Hematopoietic System:  Guidance for Industry","PDF (378.54 KB)PDF (378.54 KB) of BLA for Minimally Manipulated, Unrelated Allogeneic Placental/Umbilical Cord Blood Intended for Hematopoietic and Immunologic Reconstitution in Patients with Disorders Affecting the Hematopoietic System:  Guidance for Industry",03/01/2014,Center for Biologics Evaluation and Research,"Cellular & Gene Therapy, Gene Therapy",Final,No,,FDA-2006-D-0157
"IND Applications for Minimally Manipulated, Unrelated Allogeneic Placental/Umbilical Cord Blood Intended for Hematopoietic and Immunologic Reconstitution in Patients with Disorders Affecting the Hematopoietic System:  Guidance for Industry and FDA Staff","PDF (119.68 KB)PDF (119.68 KB) of IND Applications for Minimally Manipulated, Unrelated Allogeneic Placental/Umbilical Cord Blood Intended for Hematopoietic and Immunologic Reconstitution in Patients with Disorders Affecting the Hematopoietic System:  Guidance for Industry and FDA Staff",03/01/2014,Center for Biologics Evaluation and Research,"Cellular & Gene Therapy, Gene Therapy",Final,No,,FDA-2009-D-0490
Antiviral Product Development — Conducting and Submitting Virology Studies to the Agency: Guidance for Submitting HIV-1 Resistance Data: Attachment to the Guidance: Draft Draft Guidance: This draft guidance updates the final guidance posted 6/2/06,PDF (166.83 KB)PDF (166.83 KB) of Antiviral Product Development — Conducting and Submitting Virology Studies to the Agency: Guidance for Submitting HIV-1 Resistance Data: Attachment to the Guidance: Draft Draft Guidance: This draft guidance updates the final guidance posted 6/2/06,02/28/2014,Center for Drug Evaluation and Research,Clinical - Antimicrobial,Draft,No,,FDA-2014-D-0180
"Public Availability of Advisory Committee Members' Financial Interest Information and Waivers:  Guidance for the Public, FDA Advisory Committee Members, and FDA Staff","PDF (93.78 KB)PDF (93.78 KB) of Public Availability of Advisory Committee Members' Financial Interest Information and Waivers:  Guidance for the Public, FDA Advisory Committee Members, and FDA Staff",02/28/2014,"Office of the Commissioner,Office of Clinical Policy and Programs,Office of Clinical Policy","Advisory Committees, Food & Color Additives",Final,No,,
The Electronic Transmission of Individual Case Safety Reports Implementation Guide — Data Elements and Message Specification,PDF (1.65 MB)PDF (1.65 MB) of The Electronic Transmission of Individual Case Safety Reports Implementation Guide — Data Elements and Message Specification,02/27/2014,Center for Drug Evaluation and Research,ICH-Safety,Final,No,,
"Questions and Answers about eMDR - Electronic Medical Device Reporting - Guidance for Industry, User Facilities and FDA Staff","PDF (147.41 KB)PDF (147.41 KB) of Questions and Answers about eMDR - Electronic Medical Device Reporting - Guidance for Industry, User Facilities and FDA Staff",02/13/2014,Center for Devices and Radiological Health,"Adverse Event Reporting System (FAERS), Adverse Event Reporting",Final,No,,FDA-2008-N-0393
Providing Regulatory Submissions in Electronic Format--Receipt Date:  Guidance for Industry,PDF (218.46 KB)PDF (218.46 KB) of Providing Regulatory Submissions in Electronic Format--Receipt Date:  Guidance for Industry,02/10/2014,Center for Drug Evaluation and ResearchCenter for Biologics Evaluation and Research,"Electronic Submissions,",Final,No,,FDA-2007-D-0077
